STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
5574.0,DEVASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.4,8.2,392.0,7.0,1.0,6300.0,54000.0,3.3186813186813184,80.0,5.0,80.0,64.0,88.0,1.5,0.48,72.0,44.0,28.0,15.0,73.0,268.0,12.175824175824175,0.56,0.5,13.0,0.23,43.956043956043956,1.7945054945054946,0.29725274725274725,2023.0
5574.0,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",4.7,7.2,550.0,8.0,2.0,2300.0,54000.0,3.6373626373626373,124.0,5.0,124.0,108.0,72.0,1.5,0.79,148.0,80.0,68.0,11.0,60.0,376.0,12.351648351648352,0.98,0.5,27.0,0.28,43.91208791208791,1.789010989010989,0.2945054945054945,2023.0
5574.0,JAKKUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.6,7.0,908.0,12.0,4.1,4000.0,92000.0,3.956043956043956,224.0,5.0,224.0,156.0,119.0,1.5,1.8,280.0,144.0,136.0,20.0,125.0,620.0,12.527472527472527,2.4,0.5,32.0,0.45,43.86813186813187,1.7835164835164836,0.2917582417582417,2023.0
5574.0,NAGAVARA LAKE,"D (Propagation of wild life,fisheries)",4.9,7.0,550.0,8.0,2.0,1300.0,24000.0,4.274725274725275,128.0,5.0,128.0,100.0,71.0,1.5,0.8,148.0,80.0,68.0,12.0,58.0,372.0,12.703296703296703,0.7,0.5,26.0,0.32,43.824175824175825,1.7780219780219781,0.289010989010989,2023.0
5574.0,CHELEKERE LAKE,"D (Propagation of wild life,fisheries)",4.8,7.1,548.0,8.0,0.3,1700.0,35000.0,4.593406593406593,124.0,5.0,124.0,108.0,70.0,1.5,0.8,124.0,68.0,56.0,11.0,59.0,372.0,12.87912087912088,0.83,0.5,26.0,0.3,43.78021978021978,1.7725274725274727,0.28626373626373625,2023.0
5574.0,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",2.9,7.5,766.0,35.0,3.0,11000.0,92000.0,4.912087912087912,220.0,5.0,220.0,96.0,168.0,1.5,2.2,204.0,108.0,96.0,21.0,11.0,518.0,13.054945054945055,1.2,0.5,18.0,0.28,43.73626373626374,1.767032967032967,0.2835164835164835,2023.0
5574.0,"Kannamangala Lake Hoskote Main Road , Bengalore","E (Irrigation, industrial cooling and controlled waste)",3.2,7.9,1842.0,21.0,6.0,9400.0,160000.0,5.230769230769231,152.0,5.0,152.0,420.0,136.0,1.5,1.4,448.0,228.0,220.0,18.0,65.0,1232.0,13.23076923076923,0.83,0.5,33.0,0.2,43.69230769230769,1.7615384615384615,0.28076923076923077,2023.0
5574.0,VEERAPURA TANK,"D (Propagation of wild life,fisheries)",5.2,6.9,621.0,5.0,9.0,4700.0,160000.0,5.549450549450549,104.0,5.0,104.0,72.0,44.0,1.5,0.51,164.0,88.0,76.0,14.0,40.0,422.0,13.406593406593407,0.29,0.5,9.0,0.22,43.64835164835165,1.756043956043956,0.27802197802197803,2023.0
5574.0,SINGAPURA LAKE,"D (Propagation of wild life,fisheries)",4.1,7.1,488.0,11.0,1.7,4700.0,54000.0,5.868131868131868,136.0,5.0,136.0,88.0,100.0,1.5,0.96,156.0,84.0,72.0,13.0,55.0,330.0,13.582417582417582,0.2,0.5,17.0,0.28,43.604395604395606,1.7505494505494505,0.27527472527472524,2023.0
5574.0,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.2,7.4,784.0,10.0,2.3,21.0,540.0,6.186813186813186,164.0,5.0,164.0,128.0,100.0,1.5,0.92,156.0,84.0,72.0,45.0,90.0,534.0,13.758241758241759,0.2,0.5,13.0,0.29,43.56043956043956,1.745054945054945,0.2725274725274725,2023.0
5574.0,KUNDALAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.0,1538.0,30.0,6.0,4800.0,92000.0,6.5054945054945055,284.0,5.0,284.0,272.0,172.0,1.5,1.8,392.0,200.0,192.0,6.0,111.0,1076.0,13.934065934065934,0.33,0.5,18.0,0.2,43.51648351648352,1.7395604395604396,0.26978021978021977,2023.0
5574.0,ALLALASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.0,528.0,17.0,1.5,33.0,1600.0,6.824175824175824,100.0,5.0,100.0,84.0,165.0,1.5,1.86,92.0,52.0,40.0,11.0,76.0,360.0,14.10989010989011,0.2,0.5,13.0,0.24,43.472527472527474,1.7340659340659341,0.26703296703296703,2023.0
5574.0,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",4.4,8.0,466.0,4.0,1.0,11000.0,92000.0,7.142857142857142,112.0,5.0,112.0,68.0,44.0,1.5,0.4,136.0,72.0,64.0,5.0,54.0,316.0,14.285714285714286,0.2,0.5,15.0,0.2,43.42857142857143,1.7285714285714286,0.2642857142857143,2023.0
5574.0,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",4.0,8.0,478.0,4.0,1.0,4800.0,35000.0,7.461538461538462,140.0,5.0,140.0,60.0,44.0,1.5,0.42,152.0,80.0,72.0,5.0,59.0,324.0,14.461538461538462,0.2,0.5,14.0,0.2,43.38461538461539,1.7230769230769232,0.2615384615384615,2023.0
5574.0,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengalur","E (Irrigation, industrial cooling and controlled waste)",3.1,7.0,598.0,23.0,2.0,7000.0,160000.0,7.78021978021978,176.0,5.0,176.0,112.0,156.0,1.5,2.9,156.0,76.0,80.0,5.0,79.0,412.0,14.637362637362639,2.0,0.5,17.0,0.2,43.34065934065934,1.7175824175824177,0.25879120879120876,2023.0
5574.0,CHINNAPPANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,7.0,700.0,5.0,3.0,3100.0,54000.0,8.098901098901099,144.0,5.0,144.0,128.0,44.0,1.5,0.9,148.0,72.0,76.0,5.0,100.0,490.0,14.813186813186814,0.3,0.5,15.0,0.3,43.2967032967033,1.7120879120879122,0.256043956043956,2023.0
5574.0,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",5.4,7.3,1048.0,6.0,4.0,6300.0,54000.0,8.417582417582416,176.0,5.0,176.0,176.0,76.0,1.5,0.4,184.0,100.0,84.0,43.0,140.0,704.0,14.989010989010989,0.2,0.5,30.0,0.33,43.252747252747255,1.7065934065934067,0.2532967032967033,2023.0
5574.0,KOTHANURU LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.4,1045.0,16.0,4.0,8400.0,92000.0,8.736263736263735,176.0,5.0,176.0,176.0,124.0,1.5,0.96,184.0,100.0,84.0,50.0,144.0,700.0,15.164835164835164,0.2,0.5,30.0,0.35,43.20879120879121,1.701098901098901,0.25054945054945055,2023.0
5574.0,GOTTIGERE LAKE,"D (Propagation of wild life,fisheries)",6.1,7.2,586.0,4.0,2.0,79000.0,1600000.0,9.054945054945055,132.0,5.0,132.0,72.0,44.0,1.5,0.4,100.0,56.0,44.0,44.0,76.0,400.0,15.340659340659341,0.2,0.5,16.0,0.2,43.16483516483517,1.6956043956043956,0.24780219780219778,2023.0
5574.0,KARIHOBANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",1.1,6.9,1474.0,24.0,3.2,170000.0,2400000.0,9.373626373626372,432.0,5.0,432.0,356.0,156.0,1.5,8.2,436.0,224.0,212.0,38.0,101.0,1002.0,15.516483516483516,3.1,0.5,21.0,0.39,43.120879120879124,1.69010989010989,0.24505494505494504,2023.0
5574.0,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",4.5,8.0,498.0,4.0,1.0,2700.0,24000.0,9.692307692307692,120.0,5.0,120.0,64.0,40.0,1.5,0.62,160.0,88.0,72.0,5.0,104.0,338.0,15.692307692307693,0.2,0.5,14.0,0.2,43.07692307692308,1.6846153846153846,0.24230769230769228,2023.0
